"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","2809 Hampshire Ave N"
"Comments:","Near the school."
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","11/04/2024"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Total Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
11/05/2024 22:00 - 22:59,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,4,24.5,25.5
11/05/2024 23:00 - 23:59,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,30.0,31.3
11/06/2024 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
11/06/2024 01:00 - 01:59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25.5,27.0
11/06/2024 02:00 - 02:59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,33.0,32.8
11/06/2024 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
11/06/2024 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
11/06/2024 05:00 - 05:59,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,8,27.8,30.3
11/06/2024 06:00 - 06:59,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,6,27.5,32.5
11/06/2024 07:00 - 07:59,2,0,20,8,5,0,0,0,0,0,0,0,0,0,0,35,25.3,30.5
11/06/2024 08:00 - 08:59,1,1,13,13,4,0,0,0,0,0,0,0,0,0,0,32,26.2,30.5
11/06/2024 09:00 - 09:59,0,2,4,11,2,0,0,0,0,0,0,0,0,0,0,19,26.9,30.4
11/06/2024 10:00 - 10:59,2,0,4,6,4,1,0,0,0,0,0,0,0,0,0,17,26.9,33.4
11/06/2024 11:00 - 11:59,2,2,6,9,5,0,0,0,0,0,0,0,0,0,0,24,25.9,31.9
11/06/2024 12:00 - 12:59,0,0,1,5,6,2,0,0,0,0,0,0,0,0,0,14,31.6,35.5
11/06/2024 13:00 - 13:59,1,1,6,3,3,0,0,0,0,0,0,0,0,0,0,14,25.3,31.7
11/06/2024 14:00 - 14:59,1,0,11,10,2,2,0,0,0,0,0,0,0,0,0,26,26.8,30.0
11/06/2024 15:00 - 15:59,0,5,14,15,6,0,0,0,0,0,0,0,0,0,0,40,26.2,30.8
11/06/2024 16:00 - 16:59,2,0,8,16,8,4,0,1,0,0,0,0,0,0,0,39,29.1,35.2
11/06/2024 17:00 - 17:59,2,0,5,14,4,2,0,0,0,0,0,0,0,0,0,27,27.7,32.8
11/06/2024 18:00 - 18:59,1,0,8,12,2,0,0,0,0,0,0,0,0,0,0,23,26.4,30.2
11/06/2024 19:00 - 19:59,0,1,3,7,3,1,0,0,0,0,0,0,0,0,0,15,28.3,33.1
11/06/2024 20:00 - 20:59,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,8,27.1,30.1
11/06/2024 21:00 - 21:59,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,9,26.3,33.9
11/06/2024 22:00 - 22:59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25.5,27.0
11/06/2024 23:00 - 23:59,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,30.5,37.0
11/07/2024 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
11/07/2024 01:00 - 01:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
11/07/2024 02:00 - 02:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
11/07/2024 03:00 - 03:59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,33.0,32.8
11/07/2024 04:00 - 04:59,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,23.0,27.0
11/07/2024 05:00 - 05:59,0,0,1,2,3,2,0,0,0,0,0,0,0,0,0,8,32.1,36.8
11/07/2024 06:00 - 06:59,0,1,3,4,1,0,0,0,0,0,0,0,0,0,0,9,26.1,29.9
