"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:","3618 Adair Ave N"
"Location:","3618 Adair Ave N"
"Comments:","Site 37910"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","04/23/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Total Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
04/25/2025 15:00 - 15:59,1,7,17,28,12,0,0,0,0,0,0,0,0,0,0,65,26.7,31.7
04/25/2025 16:00 - 16:59,2,6,21,29,4,1,1,0,0,0,0,0,0,0,0,64,26.0,30.3
04/25/2025 17:00 - 17:59,0,3,17,19,5,2,0,0,0,0,0,0,0,0,0,46,26.9,30.6
04/25/2025 18:00 - 18:59,1,3,12,11,5,1,0,0,0,0,0,0,0,0,0,33,26.2,31.5
04/25/2025 19:00 - 19:59,1,5,10,9,1,1,0,0,0,0,0,0,0,0,0,27,24.6,29.6
04/25/2025 20:00 - 20:59,1,3,8,7,1,1,0,0,0,0,0,0,0,0,0,21,24.9,29.8
04/25/2025 21:00 - 21:59,5,1,6,2,1,1,0,0,0,0,0,0,0,0,0,16,21.2,28.8
04/25/2025 22:00 - 22:59,1,1,7,4,2,0,0,0,0,0,0,0,0,0,0,15,24.9,30.1
04/25/2025 23:00 - 23:59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25.5,27.0
04/26/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
04/26/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
04/26/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
04/26/2025 03:00 - 03:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
04/26/2025 04:00 - 04:59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,38.0,37.8
04/26/2025 05:00 - 05:59,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,25.0,26.3
04/26/2025 06:00 - 06:59,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,25.0,28.6
04/26/2025 07:00 - 07:59,1,1,6,4,3,0,0,0,0,0,0,0,0,0,0,15,25.5,31.4
04/26/2025 08:00 - 08:59,1,4,11,2,3,0,0,0,0,0,0,0,0,0,0,21,23.8,29.4
04/26/2025 09:00 - 09:59,1,2,9,9,0,1,0,0,0,0,0,0,0,0,0,22,25.1,29.4
04/26/2025 10:00 - 10:59,3,3,7,8,2,0,0,0,0,0,0,0,0,0,0,23,23.7,29.8
04/26/2025 11:00 - 11:59,4,3,13,9,0,1,0,0,0,0,0,0,0,0,0,30,23.2,28.8
04/26/2025 12:00 - 12:59,4,8,15,9,5,0,0,0,0,0,0,0,0,0,0,41,23.5,30.1
04/26/2025 13:00 - 13:59,0,6,15,10,3,1,0,0,0,0,0,0,0,0,0,35,25.3,30.1
04/26/2025 14:00 - 14:59,4,2,9,9,4,0,0,0,0,0,0,0,0,0,0,28,24.3,30.6
04/26/2025 15:00 - 15:59,1,4,3,8,3,0,0,0,0,0,0,0,0,0,0,19,25.4,30.4
04/26/2025 16:00 - 16:59,2,5,10,7,2,0,0,0,0,0,0,0,0,0,0,26,23.6,29.3
04/26/2025 17:00 - 17:59,3,7,12,16,1,0,0,1,0,0,0,0,0,0,0,40,24.5,29.6
04/26/2025 18:00 - 18:59,0,0,9,13,2,0,0,0,0,0,0,0,0,0,0,24,27.0,30.2
04/26/2025 19:00 - 19:59,1,1,5,8,2,0,0,0,0,0,0,0,0,0,0,17,25.9,30.3
04/26/2025 20:00 - 20:59,1,3,5,5,1,0,0,0,0,0,0,0,0,0,0,15,23.8,29.3
04/26/2025 21:00 - 21:59,2,4,6,2,1,0,0,0,0,0,0,0,0,0,0,15,21.7,26.6
04/26/2025 22:00 - 22:59,3,1,7,3,0,0,0,0,0,0,0,0,0,0,0,14,21.3,26.7
04/26/2025 23:00 - 23:59,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,5,25.2,34.8
04/27/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
04/27/2025 01:00 - 01:59,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10.5,13.0
04/27/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
04/27/2025 03:00 - 03:59,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,18.8,25.5
04/27/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
04/27/2025 05:00 - 05:59,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,28.0,32.0
04/27/2025 06:00 - 06:59,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,30.5,32.0
04/27/2025 07:00 - 07:59,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,7,22.9,28.4
04/27/2025 08:00 - 08:59,0,1,3,7,0,0,1,0,0,0,0,0,0,0,0,12,27.5,30.1
04/27/2025 09:00 - 09:59,0,2,4,6,3,0,0,0,0,0,0,0,0,0,0,15,26.8,31.4
04/27/2025 10:00 - 10:59,2,5,5,6,1,0,0,0,0,0,0,0,0,0,0,19,22.8,29.0
04/27/2025 11:00 - 11:59,0,2,8,11,5,0,0,0,0,0,0,0,0,0,0,26,27.1,31.6
04/27/2025 12:00 - 12:59,1,3,13,14,3,0,0,0,0,0,0,0,0,0,0,34,25.6,30.1
04/27/2025 13:00 - 13:59,1,3,15,6,6,0,0,0,0,0,0,0,0,0,0,31,25.5,31.7
04/27/2025 14:00 - 14:59,0,2,9,10,3,0,0,0,0,0,0,0,0,0,0,24,26.4,30.5
04/27/2025 15:00 - 15:59,0,3,6,6,2,0,0,0,0,0,0,0,0,0,0,17,25.5,30.1
04/27/2025 16:00 - 16:59,0,2,7,11,2,0,0,0,0,0,0,0,0,0,0,22,26.4,30.2
