"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","5336 Kentucky Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","06/17/2025"
"Start Time:","00:00"
"Export Version:","All V2.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","All-In-One (Westbound / Eastbound)"
"Date/Time","Volume - Westbound","Volume - Eastbound","Class #1 - Westbound","Class #2 - Westbound","Class #3 - Westbound","Class #4 - Westbound","Class #5 - Westbound","Class #6 - Westbound","Class #7 - Westbound","Class #8 - Westbound","Class #9 - Westbound","Class #10 - Westbound","Class #11 - Westbound","Class #12 - Westbound","Class #13 - Westbound","Class #1 - Eastbound","Class #2 - Eastbound","Class #3 - Eastbound","Class #4 - Eastbound","Class #5 - Eastbound","Class #6 - Eastbound","Class #7 - Eastbound","Class #8 - Eastbound","Class #9 - Eastbound","Class #10 - Eastbound","Class #11 - Eastbound","Class #12 - Eastbound","Class #13 - Eastbound","5-15 MPH  - Westbound","16-20 MPH  - Westbound","21-25 MPH  - Westbound","26-30 MPH  - Westbound","31-35 MPH  - Westbound","36-40 MPH  - Westbound","41-45 MPH  - Westbound","46-50 MPH  - Westbound","51-55 MPH  - Westbound","56-60 MPH  - Westbound","61-65 MPH  - Westbound","66-70 MPH  - Westbound","71-71 MPH  - Westbound","76-80 MPH  - Westbound","81-99 MPH  - Westbound","5-15 MPH  - Eastbound","16-20 MPH  - Eastbound","21-25 MPH  - Eastbound","26-30 MPH  - Eastbound","31-35 MPH  - Eastbound","36-40 MPH  - Eastbound","41-45 MPH  - Eastbound","46-50 MPH  - Eastbound","51-55 MPH  - Eastbound","56-60 MPH  - Eastbound","61-65 MPH  - Eastbound","66-70 MPH  - Eastbound","71-71 MPH  - Eastbound","76-80 MPH  - Eastbound","81-99 MPH  - Eastbound"
06/18/2025 04:00,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0
06/18/2025 05:00,7,14,0,5,1,0,1,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,6,4,1,1,0,0,0,0,0,0,0,0,0
06/18/2025 06:00,11,13,0,8,1,0,2,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,1,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,1,0,0,0,0,0,0,0,0,0
06/18/2025 07:00,18,25,0,15,0,1,2,0,0,0,0,0,0,0,0,1,21,1,0,1,1,0,0,0,0,0,0,0,0,1,7,6,4,0,0,0,0,0,0,0,0,0,0,0,1,9,7,6,2,0,0,0,0,0,0,0,0,0
06/18/2025 08:00,21,26,0,18,1,0,2,0,0,0,0,0,0,0,0,0,21,1,1,3,0,0,0,0,0,0,0,0,0,1,9,7,2,1,1,0,0,0,0,0,0,0,0,0,2,6,10,8,0,0,0,0,0,0,0,0,0,0
06/18/2025 09:00,15,22,0,9,2,0,2,2,0,0,0,0,0,0,0,1,15,2,0,4,0,0,0,0,0,0,0,0,0,1,7,2,4,1,0,0,0,0,0,0,0,0,0,1,2,10,7,2,0,0,0,0,0,0,0,0,0,0
06/18/2025 10:00,26,12,0,23,2,0,1,0,0,0,0,0,0,0,0,0,8,1,0,2,1,0,0,0,0,0,0,0,0,1,10,9,5,1,0,0,0,0,0,0,0,0,0,0,2,4,4,1,1,0,0,0,0,0,0,0,0,0
06/18/2025 11:00,22,18,0,17,3,1,1,0,0,0,0,0,0,0,0,0,15,2,0,1,0,0,0,0,0,0,0,0,0,0,9,8,4,1,0,0,0,0,0,0,0,0,0,0,0,4,5,8,1,0,0,0,0,0,0,0,0,0
06/18/2025 12:00,20,19,0,15,1,1,3,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,1,2,5,9,3,0,0,0,0,0,0,0,0,0,0,0,1,4,10,4,0,0,0,0,0,0,0,0,0,0
06/18/2025 13:00,14,29,0,10,0,0,3,1,0,0,0,0,0,0,0,0,21,3,0,4,0,1,0,0,0,0,0,0,1,0,5,6,2,0,0,0,0,0,0,0,0,0,0,1,1,6,11,9,1,0,0,0,0,0,0,0,0,0
06/18/2025 14:00,21,17,1,14,1,0,5,0,0,0,0,0,0,0,0,0,13,1,0,3,0,0,0,0,0,0,0,0,0,2,3,14,0,2,0,0,0,0,0,0,0,0,0,0,2,3,6,6,0,0,0,0,0,0,0,0,0,0
06/18/2025 15:00,25,30,1,20,2,0,2,0,0,0,0,0,0,0,0,0,25,3,0,2,0,0,0,0,0,0,0,0,2,0,4,12,5,2,0,0,0,0,0,0,0,0,0,0,0,9,10,11,0,0,0,0,0,0,0,0,0,0
06/18/2025 16:00,46,32,1,35,5,0,4,1,0,0,0,0,0,0,0,0,26,3,0,2,0,0,1,0,0,0,0,0,0,2,11,20,10,3,0,0,0,0,0,0,0,0,0,0,2,9,12,6,3,0,0,0,0,0,0,0,0,0
