"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","6001 32nd Ave N"
"Comments:","Basset Creek Park"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","09/2/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Eastbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
09/04/2025 13:00 - 13:59,2,1,6,8,6,1,0,0,0,0,0,0,0,0,0,24,27.0,33.4
09/04/2025 14:00 - 14:59,2,5,5,3,11,2,0,0,0,0,0,0,0,0,0,28,27.1,34.8
09/04/2025 15:00 - 15:59,1,2,7,18,8,4,1,0,0,0,0,0,0,0,0,41,29.0,35.0
09/04/2025 16:00 - 16:59,3,4,3,15,11,8,1,1,0,0,0,0,0,0,0,46,29.8,37.6
09/04/2025 17:00 - 17:59,1,2,7,9,7,2,1,0,0,0,0,0,0,0,0,29,28.3,34.7
09/04/2025 18:00 - 18:59,2,0,6,3,3,2,0,0,0,0,0,0,0,0,0,16,26.5,34.5
09/04/2025 19:00 - 19:59,1,2,2,8,4,1,0,0,0,0,0,0,0,0,0,18,27.4,33.3
09/04/2025 20:00 - 20:59,0,3,4,4,1,0,0,0,0,0,0,0,0,0,0,12,24.7,29.4
09/04/2025 21:00 - 21:59,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,5,24.2,29.8
09/04/2025 22:00 - 22:59,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,26.0,28.3
09/04/2025 23:00 - 23:59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25.5,27.0
09/05/2025 00:00 - 00:59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,33.0,32.8
09/05/2025 01:00 - 01:59,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,30.5,37.0
09/05/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/05/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/05/2025 04:00 - 04:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
09/05/2025 05:00 - 05:59,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,23.8,29.2
09/05/2025 06:00 - 06:59,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,4,28.8,43.3
09/05/2025 07:00 - 07:59,0,0,2,3,4,4,0,0,0,0,0,0,0,0,0,13,32.3,37.9
09/05/2025 08:00 - 08:59,1,0,2,3,5,1,0,0,0,0,0,0,0,0,0,12,28.9,34.7
09/05/2025 09:00 - 09:59,0,1,4,9,4,7,0,0,0,0,0,0,0,0,0,25,30.8,38.0
09/05/2025 10:00 - 10:59,1,1,3,5,6,0,0,0,0,0,0,0,0,0,0,16,27.6,33.6
09/05/2025 11:00 - 11:59,3,2,2,2,5,6,2,0,0,0,0,0,0,0,0,22,29.9,39.5
09/05/2025 12:00 - 12:59,1,0,3,13,6,2,1,0,0,0,0,0,0,0,0,26,29.7,34.8
09/05/2025 13:00 - 13:59,1,0,4,7,6,0,1,0,0,0,0,0,0,0,0,19,28.8,34.0
09/05/2025 14:00 - 14:59,3,3,6,2,8,1,0,0,0,0,0,0,0,0,0,23,25.7,34.2
09/05/2025 15:00 - 15:59,1,1,7,7,12,4,1,0,0,0,0,0,0,0,0,33,30.0,35.4
09/05/2025 16:00 - 16:59,3,2,10,9,14,5,1,0,0,0,0,0,0,0,0,44,28.7,35.6
09/05/2025 17:00 - 17:59,8,6,9,11,14,2,1,0,0,0,0,0,0,0,0,51,25.6,34.2
09/05/2025 18:00 - 18:59,2,1,3,8,8,3,0,0,0,0,0,0,0,0,0,25,28.8,35.2
09/05/2025 19:00 - 19:59,7,4,7,6,4,1,0,0,0,0,0,0,0,0,0,29,22.6,31.2
09/05/2025 20:00 - 20:59,1,3,3,2,4,5,0,0,0,0,0,0,0,0,0,18,28.8,37.8
09/05/2025 21:00 - 21:59,0,1,2,5,2,0,0,0,0,0,0,0,0,0,0,10,27.4,31.0
09/05/2025 22:00 - 22:59,0,1,3,4,5,1,1,0,0,0,0,0,0,0,0,15,30.0,35.3
09/05/2025 23:00 - 23:59,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,33.5,34.0
09/06/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/06/2025 01:00 - 01:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
09/06/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/06/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
09/06/2025 04:00 - 04:59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,25.5,27.0
09/06/2025 05:00 - 05:59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,38.0,37.8
09/06/2025 06:00 - 06:59,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,19.0,27.0
09/06/2025 07:00 - 07:59,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,5,36.4,38.9
09/06/2025 08:00 - 08:59,1,0,3,4,0,1,1,0,0,0,0,0,0,0,0,10,27.5,36.0
09/06/2025 09:00 - 09:59,0,1,2,2,4,1,0,0,0,0,0,0,0,0,0,10,29.4,34.8
