"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","4848 Nevada Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","06/24/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Southbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
06/26/2025 15:00 - 15:59,1,10,8,0,0,0,0,0,0,0,0,0,0,0,0,19,20.2,23.9
06/26/2025 16:00 - 16:59,0,24,8,0,0,0,0,0,0,0,0,0,0,0,0,32,19.8,22.7
06/26/2025 17:00 - 17:59,2,18,7,0,0,0,0,0,0,0,0,0,0,0,0,27,19.2,22.8
06/26/2025 18:00 - 18:59,0,21,5,0,0,0,0,0,0,0,0,0,0,0,0,26,19.4,21.6
06/26/2025 19:00 - 19:59,1,9,3,0,0,0,0,0,0,0,0,0,0,0,0,13,18.9,21.9
06/26/2025 20:00 - 20:59,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,16,20.0,23.1
06/26/2025 21:00 - 21:59,2,11,2,0,0,0,0,0,0,0,0,0,0,0,0,15,18.1,20.7
06/26/2025 22:00 - 22:59,2,8,3,0,0,0,0,0,0,0,0,0,0,0,0,13,18.4,21.9
06/26/2025 23:00 - 23:59,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,7,17.9,20.5
06/27/2025 00:00 - 00:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
06/27/2025 01:00 - 01:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
06/27/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
06/27/2025 03:00 - 03:59,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18.3,19.4
06/27/2025 04:00 - 04:59,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18.5,19.0
06/27/2025 05:00 - 05:59,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,20.0,21.3
06/27/2025 06:00 - 06:59,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,19.5,20.5
06/27/2025 07:00 - 07:59,1,9,6,0,0,0,0,0,0,0,0,0,0,0,0,16,19.8,23.6
06/27/2025 08:00 - 08:59,1,10,3,0,0,0,0,0,0,0,0,0,0,0,0,14,18.9,21.7
06/27/2025 09:00 - 09:59,1,18,6,0,0,0,0,0,0,0,0,0,0,0,0,25,19.4,22.5
06/27/2025 10:00 - 10:59,3,12,6,1,0,0,0,0,0,0,0,0,0,0,0,22,19.2,23.7
06/27/2025 11:00 - 11:59,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,13,19.2,19.9
06/27/2025 12:00 - 12:59,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,12,19.0,22.2
06/27/2025 13:00 - 13:59,2,24,11,0,0,0,0,0,0,0,0,0,0,0,0,37,19.5,23.3
06/27/2025 14:00 - 14:59,3,19,7,1,0,0,0,0,0,0,0,0,0,0,0,30,19.1,23.1
06/27/2025 15:00 - 15:59,3,13,10,0,0,0,0,0,0,0,0,0,0,0,0,26,19.5,23.8
06/27/2025 16:00 - 16:59,9,21,10,0,0,0,0,0,0,0,0,0,0,0,0,40,17.9,22.8
06/27/2025 17:00 - 17:59,4,15,1,0,0,0,0,0,0,0,0,0,0,0,0,20,17.1,20.2
06/27/2025 18:00 - 18:59,1,14,6,0,0,0,0,0,0,0,0,0,0,0,0,21,19.5,23.0
06/27/2025 19:00 - 19:59,2,12,5,0,0,0,0,0,0,0,0,0,0,0,0,19,18.9,22.6
06/27/2025 20:00 - 20:59,1,13,9,0,0,0,0,0,0,0,0,0,0,0,0,23,20.0,23.8
06/27/2025 21:00 - 21:59,1,9,6,0,0,0,0,0,0,0,0,0,0,0,0,16,19.8,23.6
06/27/2025 22:00 - 22:59,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,14,16.5,20.1
06/27/2025 23:00 - 23:59,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,14.4,19.8
06/28/2025 00:00 - 00:59,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,7,20.7,25.1
06/28/2025 01:00 - 01:59,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16.3,19.2
06/28/2025 02:00 - 02:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.0,17.8
06/28/2025 03:00 - 03:59,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,20.0,21.3
06/28/2025 04:00 - 04:59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0,8.9
06/28/2025 05:00 - 05:59,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5,19.4,19.8
06/28/2025 06:00 - 06:59,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,5,17.6,19.8
06/28/2025 07:00 - 07:59,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5,19.4,19.8
06/28/2025 08:00 - 08:59,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,20.8,23.7
06/28/2025 09:00 - 09:59,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,13,21.2,24.3
06/28/2025 10:00 - 10:59,1,11,8,0,0,0,0,0,0,0,0,0,0,0,0,20,20.0,23.8
06/28/2025 11:00 - 11:59,3,11,8,0,0,0,0,0,0,0,0,0,0,0,0,22,19.2,23.6
06/28/2025 12:00 - 12:59,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,12,18.8,23.1
06/28/2025 13:00 - 13:59,3,20,7,0,0,0,0,0,0,0,0,0,0,0,0,30,18.8,22.4
