"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","4825 Douglas Dr"
"Comments:","In front of Community Center"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/22/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","35"
"Interval:","60 Min"
"Title:","Southbound Speeds"
"Date/Time","5-14 MPH","15-19 MPH","20-24 MPH","25-29 MPH","30-34 MPH","35-39 MPH","40-44 MPH","45-49 MPH","50-54 MPH","55-59 MPH","60-64 MPH","65-69 MPH","70-74 MPH","75-79 MPH","80-99 MPH","Total""Mean Speed","85th Percentile"
07/24/2025 16:00 - 16:59,0,0,6,29,115,95,23,3,0,0,0,0,0,0,0,271,34.5,39.2
07/24/2025 17:00 - 17:59,1,1,0,23,144,106,22,4,0,0,0,0,0,0,0,301,34.7,39.1
07/24/2025 18:00 - 18:59,0,0,1,39,97,89,17,2,0,0,0,0,0,0,0,245,34.3,39.0
07/24/2025 19:00 - 19:59,0,0,1,23,91,61,13,0,0,0,0,0,0,0,0,189,34.1,38.7
07/24/2025 20:00 - 20:59,0,2,4,37,79,39,5,0,0,0,0,0,0,0,0,166,32.4,37.4
07/24/2025 21:00 - 21:59,0,0,1,27,79,32,4,3,0,0,0,0,0,0,0,146,33.2,37.6
07/24/2025 22:00 - 22:59,1,0,1,7,51,15,2,0,0,0,0,0,0,0,0,77,32.8,36.7
07/24/2025 23:00 - 23:59,0,0,2,15,23,11,1,1,0,0,0,0,0,0,0,53,32.2,37.1
07/25/2025 00:00 - 00:59,0,0,2,3,17,7,1,0,0,0,0,0,0,0,0,30,32.8,37.1
07/25/2025 01:00 - 01:59,0,1,0,2,8,3,4,0,0,0,0,0,0,0,0,18,34.1,41.0
07/25/2025 02:00 - 02:59,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,6,36.5,38.0
07/25/2025 03:00 - 03:59,0,0,1,2,4,3,0,0,0,0,0,0,0,0,0,10,31.9,36.7
07/25/2025 04:00 - 04:59,0,0,0,1,7,5,2,0,0,0,1,0,0,0,0,16,36.8,40.3
07/25/2025 05:00 - 05:59,0,0,1,6,16,9,4,0,0,0,0,0,0,0,0,36,33.7,38.9
07/25/2025 06:00 - 06:59,0,1,3,6,31,35,3,0,0,0,0,0,0,0,0,79,34.1,38.7
07/25/2025 07:00 - 07:59,0,0,4,21,73,66,9,0,0,0,0,0,0,0,0,173,34.1,38.7
07/25/2025 08:00 - 08:59,2,4,10,10,83,60,4,0,0,0,0,0,0,0,0,173,33.0,38.1
07/25/2025 09:00 - 09:59,14,7,5,23,91,54,5,0,1,0,0,0,0,0,0,200,31.3,37.7
07/25/2025 10:00 - 10:59,7,2,0,15,67,76,11,1,0,0,0,0,0,0,0,179,33.8,39.0
07/25/2025 11:00 - 11:59,3,3,2,14,89,92,15,1,0,0,0,0,0,0,0,219,34.4,39.1
07/25/2025 12:00 - 12:59,0,0,5,10,116,101,18,4,0,0,0,0,0,0,0,254,35.0,39.2
07/25/2025 13:00 - 13:59,0,0,4,23,97,110,23,2,0,0,0,0,0,0,0,259,35.0,39.3
07/25/2025 14:00 - 14:59,0,1,1,18,129,117,21,1,0,0,0,0,0,0,0,288,34.9,39.1
07/25/2025 15:00 - 15:59,0,0,0,21,112,112,28,4,0,0,0,0,0,0,0,277,35.4,39.6
07/25/2025 16:00 - 16:59,0,0,4,19,129,134,29,2,0,0,0,0,0,0,0,317,35.2,39.4
07/25/2025 17:00 - 17:59,2,1,0,27,129,111,24,1,1,0,0,0,0,0,0,296,34.6,39.1
07/25/2025 18:00 - 18:59,1,0,0,16,104,113,18,1,0,0,0,0,0,0,0,253,35.1,39.1
07/25/2025 19:00 - 19:59,0,0,2,20,132,62,11,0,0,0,0,0,0,0,0,227,33.8,38.1
07/25/2025 20:00 - 20:59,0,0,0,27,60,51,9,1,0,0,0,0,0,0,0,148,34.0,38.8
07/25/2025 21:00 - 21:59,0,0,4,23,82,34,1,0,0,0,0,0,0,0,0,144,32.7,36.9
07/25/2025 22:00 - 22:59,1,0,2,22,48,30,2,0,1,0,0,0,0,0,0,106,32.8,37.8
07/25/2025 23:00 - 23:59,0,0,1,8,29,12,1,2,0,0,0,0,0,0,0,53,33.4,37.7
07/26/2025 00:00 - 00:59,0,0,3,6,24,7,0,1,0,0,0,0,0,0,0,41,32.2,36.0
07/26/2025 01:00 - 01:59,0,0,2,0,11,7,1,0,0,0,0,0,0,0,0,21,33.6,38.1
07/26/2025 02:00 - 02:59,0,0,1,3,4,4,3,1,0,0,0,0,0,0,0,16,34.9,41.8
07/26/2025 03:00 - 03:59,0,0,0,2,7,7,1,0,0,0,0,0,0,0,0,17,34.5,38.5
07/26/2025 04:00 - 04:59,0,0,0,1,2,2,3,2,0,0,0,0,0,0,0,10,38.9,45.0
07/26/2025 05:00 - 05:59,0,0,0,0,7,7,3,0,0,0,0,0,0,0,0,17,36.2,39.9
07/26/2025 06:00 - 06:59,0,0,1,1,13,13,3,0,2,0,0,0,0,0,0,33,36.1,39.3
07/26/2025 07:00 - 07:59,0,0,1,4,22,27,7,1,1,0,0,0,0,0,0,63,35.8,39.8
07/26/2025 08:00 - 08:59,0,0,0,10,52,47,16,1,0,0,0,0,0,0,0,126,35.3,39.7
07/26/2025 09:00 - 09:59,0,0,1,14,77,72,10,1,0,0,0,0,0,0,0,175,34.7,38.9
07/26/2025 10:00 - 10:59,3,1,10,25,74,72,16,0,0,0,0,0,0,0,0,201,33.6,39.0
07/26/2025 11:00 - 11:59,0,2,6,41,106,82,10,0,0,0,0,0,0,0,0,247,33.4,38.3
07/26/2025 12:00 - 12:59,1,1,2,28,117,104,17,0,0,0,0,0,0,0,0,270,34.3,38.8
07/26/2025 13:00 - 13:59,1,0,1,23,97,118,22,0,0,0,0,0,0,0,0,262,35.0,39.2
07/26/2025 14:00 - 14:59,0,2,3,26,123,90,12,3,0,0,0,0,0,0,0,259,34.1,38.6
07/26/2025 15:00 - 15:59,0,0,1,20,102,118,22,3,0,0,0,0,0,0,0,266,35.3,39.3
07/26/2025 16:00 - 16:59,0,1,1,17,78,117,23,2,0,0,0,0,0,0,0,239,35.6,39.5
07/26/2025 17:00 - 17:59,0,0,4,27,95,80,14,2,1,0,0,0,0,0,0,223,34.4,38.9
07/26/2025 18:00 - 18:59,0,0,4,39,130,82,13,2,0,0,0,0,0,0,0,270,33.7,38.4
07/26/2025 19:00 - 19:59,1,1,2,20,85,69,9,1,0,0,0,0,0,0,0,188,34.0,38.6
07/26/2025 20:00 - 20:59,0,1,7,33,96,57,8,2,0,0,0,0,0,0,0,204,33.2,38.1
07/26/2025 21:00 - 21:59,0,0,9,48,115,37,4,1,0,0,0,0,0,0,0,214,32.1,36.3
07/26/2025 22:00 - 22:59,0,1,2,33,70,20,4,0,0,2,0,0,0,0,0,132,32.4,36.4
07/26/2025 23:00 - 23:59,0,0,1,5,27,23,3,0,0,0,0,0,0,0,0,59,34.3,38.6
07/27/2025 00:00 - 00:59,0,0,1,6,14,11,3,0,0,0,0,0,0,0,0,35,33.7,38.8
07/27/2025 01:00 - 01:59,0,0,1,2,17,7,1,0,0,0,0,0,0,0,0,28,33.3,37.4
07/27/2025 02:00 - 02:59,0,0,0,3,7,8,1,0,0,0,1,0,0,0,0,20,35.7,39.1
07/27/2025 03:00 - 03:59,0,0,1,2,5,4,1,0,0,0,0,0,0,0,0,13,33.2,38.2
07/27/2025 04:00 - 04:59,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,7,33.1,36.1
07/27/2025 05:00 - 05:59,0,0,0,2,6,1,2,0,0,0,0,0,0,0,0,11,33.8,39.6
07/27/2025 06:00 - 06:59,0,1,2,2,11,7,5,0,0,0,0,0,0,0,0,28,33.9,40.3
07/27/2025 07:00 - 07:59,3,2,7,7,18,16,3,0,0,0,0,0,0,0,0,56,30.8,38.2
07/27/2025 08:00 - 08:59,10,6,8,8,22,18,1,0,1,0,0,0,0,0,0,74,28.2,37.3
07/27/2025 09:00 - 09:59,3,0,3,12,56,51,15,0,0,0,0,0,0,0,0,140,34.3,39.4
07/27/2025 10:00 - 10:59,0,4,9,16,65,69,12,2,0,0,0,0,0,0,0,177,34.0,39.1
07/27/2025 11:00 - 11:59,0,0,1,8,95,116,16,0,0,0,0,0,0,0,0,236,35.4,39.1
07/27/2025 12:00 - 12:59,0,1,2,18,76,100,17,2,0,0,0,0,0,0,0,216,35.2,39.3
07/27/2025 13:00 - 13:59,0,0,1,17,94,103,15,2,0,0,0,0,0,0,0,232,35.1,39.1
07/27/2025 14:00 - 14:59,0,0,5,21,87,90,12,2,0,0,0,0,0,0,0,217,34.5,38.9
07/27/2025 15:00 - 15:59,0,0,0,24,100,76,17,2,0,0,0,0,0,0,0,219,34.6,39.1
07/27/2025 16:00 - 16:59,1,0,0,16,75,97,21,3,0,0,0,0,0,0,0,213,35.5,39.6
07/27/2025 17:00 - 17:59,0,0,4,14,84,79,16,2,0,0,0,0,0,0,0,199,34.9,39.2
07/27/2025 18:00 - 18:59,1,1,1,23,91,82,12,0,0,0,0,0,0,0,0,211,34.2,38.8
07/27/2025 19:00 - 19:59,0,0,7,44,69,55,13,1,0,1,0,0,0,0,0,190,33.3,38.7
07/27/2025 20:00 - 20:59,0,0,5,56,76,20,5,0,1,0,0,0,0,0,0,163,31.5,35.3
07/27/2025 21:00 - 21:59,0,0,1,27,47,24,1,1,0,0,0,0,0,0,0,101,32.5,37.2
07/27/2025 22:00 - 22:59,0,0,4,24,43,10,1,1,0,0,0,0,0,0,0,83,31.5,34.9
