"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","5240 Maryland Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","06/17/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Eastbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
06/21/2025 20:00 - 20:59,0,6,7,8,2,0,0,0,0,0,0,0,0,0,0,23,24.8,29.8
06/21/2025 21:00 - 21:59,1,0,7,12,4,0,0,0,0,0,0,0,0,0,0,24,27.1,30.9
06/21/2025 22:00 - 22:59,0,0,7,6,3,0,0,0,0,0,0,0,0,0,0,16,27.2,31.2
06/21/2025 23:00 - 23:59,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,8,23.6,28.9
06/22/2025 00:00 - 00:59,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,4,28.3,30.5
06/22/2025 01:00 - 01:59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,33.0,32.8
06/22/2025 02:00 - 02:59,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,21.7,23.6
06/22/2025 03:00 - 03:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
06/22/2025 04:00 - 04:59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,33.0,32.8
06/22/2025 05:00 - 05:59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0,22.8
06/22/2025 06:00 - 06:59,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,5,31.2,34.8
06/22/2025 07:00 - 07:59,0,0,1,5,4,0,0,0,0,0,0,0,0,0,0,10,29.9,33.5
06/22/2025 08:00 - 08:59,0,0,4,8,4,0,0,0,0,0,0,0,0,0,0,16,28.5,32.4
06/22/2025 09:00 - 09:59,1,0,11,6,8,0,0,0,0,0,0,0,0,0,0,26,27.2,33.3
06/22/2025 10:00 - 10:59,0,1,10,13,3,0,0,0,0,0,0,0,0,0,0,27,26.8,30.4
06/22/2025 11:00 - 11:59,0,3,6,13,8,0,0,0,0,0,0,0,0,0,0,30,27.8,32.9
06/22/2025 12:00 - 12:59,1,8,8,15,4,1,1,0,0,0,0,0,0,0,0,38,26.0,30.8
06/22/2025 13:00 - 13:59,1,2,12,11,7,0,0,0,0,0,0,0,0,0,0,33,26.5,32.1
06/22/2025 14:00 - 14:59,0,5,9,16,7,0,0,0,0,0,0,0,0,0,0,37,26.8,31.7
