"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","4825 Douglas Dr"
"Comments:","In front of Community Center"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/22/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","30"
"Interval:","60 Min"
"Title:","Total Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","46-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
07/29/2025 02:00 - 02:59,0,0,0,2,7,3,0,0,0,0,0,0,0,0,0,12,33.8,37.2
07/29/2025 03:00 - 03:59,0,0,2,1,5,4,0,0,0,0,0,0,0,0,0,12,33.0,38.1
07/29/2025 04:00 - 04:59,0,0,0,5,14,4,2,0,0,0,0,0,0,0,0,25,34.1,38.2
07/29/2025 05:00 - 05:59,0,1,0,11,41,20,4,1,0,0,0,0,0,0,0,78,34.6,39.2
07/29/2025 06:00 - 06:59,0,1,7,28,88,64,11,1,0,0,0,0,0,0,0,200,34.6,39.6
07/29/2025 07:00 - 07:59,1,1,6,44,144,116,18,2,0,0,0,0,0,0,0,332,34.9,39.7
07/29/2025 08:00 - 08:59,0,0,8,52,166,134,19,1,0,0,0,0,0,0,0,380,34.9,39.6
07/29/2025 09:00 - 09:59,1,2,10,61,195,103,16,2,0,0,0,0,0,0,0,390,34.1,39.0
07/29/2025 10:00 - 10:59,1,1,3,53,178,117,19,0,0,0,0,0,0,0,0,372,34.7,39.4
07/29/2025 11:00 - 11:59,0,0,11,64,228,135,25,1,0,0,0,0,0,0,0,464,34.6,39.4
07/29/2025 12:00 - 12:59,2,1,12,69,216,141,21,1,0,0,0,0,0,1,0,464,0.0,0.0
