Location:,Location 1 Totals,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date:,10/2/2024,,,,,,,,,,,,,,,,,,,,,,,,,,
Posted Speed:,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval:,60 Min,,,,,,,,,,,,,,,,,,,,,,,,,,
Title:,Total Speeds,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,0-20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45-99,Total
10/03/2024 11:00 - 11:59,35,13,13,13,21,13,7,13,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136
10/03/2024 12:00 - 12:59,32,13,13,6,22,16,8,5,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,120
10/03/2024 13:00 - 13:59,22,13,18,3,11,17,5,6,4,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,105
10/03/2024 14:00 - 14:59,29,17,20,13,15,20,6,7,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,135
10/03/2024 15:00 - 15:59,49,23,26,20,30,23,10,8,4,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,204
10/03/2024 16:00 - 16:59,37,16,26,10,25,29,10,8,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176
10/03/2024 17:00 - 17:59,47,24,27,13,27,15,8,10,2,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,182
10/03/2024 18:00 - 18:59,22,14,21,8,21,13,7,8,5,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125
10/03/2024 19:00 - 19:59,15,13,24,6,21,9,5,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
10/03/2024 20:00 - 20:59,14,2,12,9,9,12,0,8,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
10/03/2024 21:00 - 21:59,11,10,7,1,10,12,4,1,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
10/03/2024 22:00 - 22:59,4,1,10,4,0,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26
10/03/2024 23:00 - 23:59,3,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9
